ID,Tool
19492,Disco Ø 125 * 1mm
19111,Mascara descartável (cirúrgica)
8195,Luvas pele (mecânico) Tam. 10
8194,Luvas pele (mecânico) Tam. 9
16900,Máscara Filtrante FFP2 sem válvula KN95
8191,Óculos de proteção
8193,Auricular (tampão descartável) SNR 30dB
15310,Luva de Latex
15861,Vidro transparente p/ máscara soldar 108*51
23569,Elétrodo Carvão - 8.0 mm
23619,Disco Ø 230 * 1.8(1.9)mm
30873,Disco Ø 125 * 1mm Premium
23609,Disco Ø 125 * 6mm
11225,Mascara de soldar Baby Fibra
8209,Máscara Filtrante FFP3 com válvula
14286,Fato Tyvek Branco Cat. 3 - XL
22304,Cadeado de consignação
15098,"Elétrodo E7018 2,5 mm"
14279,Filtro de Partículas P2 R 2128
19404,Trapos de Limpeza
5274,Balde
23608,Disco Ø 125 * 3.2mm
14285,Fato Tyvek Branco Cat. 3 - L
39230,Alicate de Massa Completo
13693,Acrílico de Viseira
15299,Luva Eletricista Tam. 9
15103,"Elétrodo E7018 3,2 mm"
14281,Filtro de Partículas P3 R 2138
21427,Marreta 2Kg
5276,Tabuleiro
39231,Alicate de Soldar completo
8207,Capacete Proteção (Delta Plus azul)
23568,Elétrodo Carvão - 6.0 mm
15552,Disco Lamelas Ø 125 G60
15344,Luvas pele (mecânico) Tam. 8
15859,Disco Lamelas Ø 125 G40
15687,Óculos proteção poeiras
23603,Disco Ø 125 * 2.5mm
15298,Luva Eletricista Tam. 8
22870,Sacos do Lixo Grandes
8196,Luvas de soldar / ArcAir
13744,Luva de Soldar em crute Tam. 9/10
30877,Disco Ø 125 * 6mm Premium
24052,Vidro transparente p/ máscara soldar 110*60
5230,Manómetro de Árgon / CO2 (Protar - Azoto)
25233,Desengordurante de limpeza (L)
5009,Chave de Pancada Luneta 36
14289,Luva de Soldar TIG
14239,Colete Refletor L/XL
16795,Luva de anti-corte Nº9
15300,Luva Eletricista Tam. 10
5232,Manómetro de Acetileno
16191,Vidro escuro p/ máscara soldar N11 108*51mm
13692,Suporte de viseira para capacete
5229,Manómetro de Oxigénio
5016,Chave de Pancada Luneta 41
8192,Franquelete 4 pontos (Delta Plus)
5008,Chave de Pancada Luneta 32
15772,Luva de borracha (proteção quimica)
5007,Chave de Pancada Luneta 30
5233,Debitómetro / Fluxómetro de coluna de esfera
7309,Grampo médio  - 500mm a 600mm
5025,Chave de Pancada Boca 36
7308,Grampo pequeno - 300mm a 400mm
23768,Garrafão água 18.9L
21366,Malho 5Kg
16913,Aloquete/Cadeado metálico 30mm
5017,Chave de Pancada Luneta 46
4999,Chave de Pancada Luneta 24
23769,Copos água (Manga de 100 Copos)
30875,Disco Ø 125 * 3.2mm Premium
24484,Elétrodo Tungsténio 2.4mm
15954,"Fio de Soldar ER70S-6 1,2 mm (bobines 15kg)"
5018,Chave de Pancada Luneta 50
16190,Vidro escuro p/ máscara soldar N10 108*51mm
27077,Abraçadeira de Serrilha médias (201-400mm)
19040,Luvas pele (mecânico) Tam. 11
24692,"Manilhas de 3/4"""
5026,Chave de Pancada Boca 41
