MOVEMENTID,ToolID,Tool,TotalVolume
83519,107569,Tirfor 1600 Kg (guincho manual de cabo passante),1.00
83208,99958,"Aparafusadora de impacto a bateria 1/2""",1.00
83208,99960,"Aparafusadora de impacto a bateria 1/2""",1.00
83208,141356,"Jogo chaves impacto curtas/longas 1/2"" ( 8 à 32mm)",1.00
82757,109167,Aparafusadora dinamométrica a Bateria,1.00
82575,5232,Manómetro de Acetileno,2.00
82575,16913,Aloquete/Cadeado metálico 30mm,2.00
82575,106498,Mangueira de Oxicorte,1.00
82575,5229,Manómetro de Oxigénio,2.00
82575,9370,Baú de Arrumação,1.00
82575,58592,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)",1.00
82575,134388,Cinta Plana 1 Ton 2 Metros,1.00
82575,61331,"Diferencial de 1,5 Ton",1.00
82575,81045,Baú de arrumação,1.00
82575,78412,"Diferencial de 1,5 Ton",1.00
82575,141161,Caixa de Ferramenta Mecânico,1.00
82575,76403,Maçarico de corte (Lança de corte),1.00
82575,107783,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",1.00
82575,119734,Caixa de Ferramenta Mecânico,1.00
82575,115671,Lança dar calor (oxi-propano),1.00
82575,134666,Cinta Plana 1 Ton 1 Metro,1.00
82575,134646,Cinta Plana 1 Ton 1 Metro,1.00
82575,140957,Mangueira de Oxicorte,1.00
82575,139048,Cinta Plana 1 Ton 2 Metros,1.00
82575,141288,Cinta Plana 2 Ton 2 Metros,1.00
82575,141287,Cinta Plana 2 Ton 2 Metros,1.00
81422,13599,Meia-Máscara respiratória (6100-S; 6200-M; 6300-L),2.00
81422,8251,Fato oleado / chuva L,5.00
81422,8192,Franquelete 4 pontos (Delta Plus),50.00
81422,8193,Auricular (tampão descartável) SNR 30dB,50.00
81422,13692,Suporte de viseira para capacete,30.00
81422,14279,Filtro de Partículas P2 R 2128,34.00
81422,8250,Fato oleado / chuva M,1.00
81422,15853,Bico corte oxi-acetileno 16/10 G1-A,2.00
81422,13695,Joelheira (par),3.00
