MOVEMENTID,ToolingCode,TotalVolume
13,ELM.RCT.125,1.00
13,ELM.RCT.230,1.00
14,ELM.APS.APS,5.00
14,ELT.APS.ARC,2.00
15,ELM.BRB.BMG,1.00
16,ELM.APS.APS,1.00
17,ELM.RCT.230,1.00
17,ELM.APS.APS,1.00
17,ELM.RCT.125,2.00
18,ELM.APS.APS,1.00
19,ELM.RCT.125,1.00
20,ELM.RCT.125,1.00
21,ELM.RCT.RBL,1.00
24,ELM.APS.APS,1.00
25,ELM.BRB.BMG,1.00
26,ELM.APS.TIG,1.00
27,ELT.APS.ARC,2.00
27,ELM.APS.APS,2.00
28,ELM.RCT.230,1.00
29,ELM.RCT.125,3.00
29,ELM.APS.APS,3.00
29,ELM.RCT.180,3.00
30,ELM.RCT.230,1.00
30,ELM.APS.APS,1.00
30,ELM.RCT.125,1.00
31,ELM.RCT.125,2.00
32,ELM.RCT.180,4.00
32,ELM.RCT.125,4.00
32,ELM.RCT.230,2.00
32,ELM.RCT.RBL,8.00
33,ELM.APS.APS,1.00
35,ELM.APS.APS,1.00
36,ELM.BRB.BMG,1.00
37,ELM.RCT.125,2.00
37,ELM.APS.APS,1.00
37,ELM.RCT.180,1.00
38,ELM.BRB.BMG,1.00
40,ELT.APS.ARC,1.00
42,ELM.APS.TIG,1.00
43,ELM.APS.APS,1.00
43,ELM.RCT.125,1.00
44,ELM.CRT.CAR,1.00
45,ELM.APS.APS,1.00
45,ELM.RCT.125,1.00
45,ELM.RCT.115,1.00
46,ELM.APS.APS,1.00
46,ELM.RCT.125,6.00
46,ELM.RCT.RBL,1.00
46,ELM.RCT.180,2.00
47,ELM.APS.TIG,1.00
47,ELM.RCT.RBL,1.00
48,ELM.APS.APS,1.00
49,ELM.RCT.180,1.00
49,ELM.RCT.125,1.00
49,ELM.RCT.RBL,1.00
50,ELM.RCT.125,1.00
50,ELM.RCT.180,1.00
50,ELM.RCT.RBL,1.00
51,ELM.RCT.RBL,4.00
51,ELM.RCT.230,4.00
51,ELM.RCT.125,4.00
52,ELM.RCT.125,2.00
53,ELM.RCT.RBL,6.00
54,ELM.APS.APS,1.00
54,ELM.RCT.125,2.00
54,ELM.RCT.180,1.00
56,ARM.CTT.CTA,1.00
56,ARM.CTT.CTF,1.00
58,ELM.RCT.230,1.00
63,ELT.APS.MIG,1.00
64,ELT.APS.MIG,1.00
