ID,NAME,SUBFAMILYID
2238,Retificadora diam. 125 mm,863
2239,Retificadora a bateria diam. 125 mm,863
2240,Retificadora diam. 180 mm,864
2241,Reboque AV39950,932
2242,Retificadora diam. 180 mm,864
2243,Berbequim de base magnética,545
2244,Retificadora diam. 180 mm,864
2245,Retificadora diam. 180 mm,864
2246,Aparelho de soldar,527
2247,Retificadora diam. 230 mm,866
2248,Retificadora diam. 180 mm,864
2249,Aparelho de soldar,527
2250,Retificadora diam. 180 mm,864
2251,Aparelho de Soldar / Arc-air,529
2252,Retificadora diam. 230 mm,866
2253,Retificadora diam. 230 mm,866
2254,Retificadora diam. 230 mm,866
2255,Retificadora diam. 230 mm,866
2256,Retificadora diam. 230 mm,866
2257,Retificadora diam. 230 mm,866
2258,Retificadora diam. 230 mm,866
2260,Retificadora diam. 125 mm,863
2261,Retificadora diam. 230 mm,864
2262,Aparelho de soldar,527
2263,Retificadora diam. 125 mm,863
2264,Retificadora diam. 180 mm,864
2265,Retificadora diam. 180 mm,864
2266,Retificadora diam. 230 mm,864
2267,Retificadora diam. 180 mm,864
2268,Retificadora diam. 180 mm,864
2269,Retificadora diam. 230 mm,866
2270,Retificadora diam. 230 mm,866
2271,Aparelho de soldar,527
2272,Aparelho de soldar,527
2273,Aparelho de soldar,527
2274,Aparelho de soldar,527
2275,Aparelho de soldar,527
2277,Berbequim de base magnética,545
2278,Berbequim de base magnética,545
2279,Berbequim de base magnética,545
2280,Rebolo (Retificadora direta),843
2281,Retificadora diam. 230 mm,866
2283,Aparelho de soldar,527
2288,Aparelho de Soldar / Arc-air,529
2289,Aparelho de soldar,527
2290,Aparelho de soldar,527
2291,Aparelho de soldar,527
2292,Aparelho de soldar TIG,904
2293,Retificadora diam. 125 mm,863
2294,Retificadora diam. 180 mm,864
2295,Aparelho de soldar,527
2296,Aparelho de soldar,527
2297,Retificadora diam. 180 mm,864
2298,Retificadora diam. 180 mm,864
2299,Reboque VC555,932
2300,Retificadora diam. 230 mm,866
2301,Retificadora diam. 125 mm,863
2304,Máquina de Cortar Juntas,935
2306,Retificadora diam. 230 mm,866
2307,Aparelho de soldar,527
2308,Retificadora diam. 115 mm (sistema homem morto),933
2309,Retificadora diam. 115 mm (sistema homem morto),933
2310,Retificadora a bateria diam. 125 mm,863
2311,Aparelho de soldar,527
2312,Retificadora diam. 125 mm,863
2313,Retificadora diam. 125 mm,863
2314,Retificadora diam. 125 mm,863
2315,Retificadora diam. 125 mm,863
2316,Retificadora diam. 125 mm,863
