DESTINATIONJOBID,ToolingCode,TotalVolume
1473,ELM.CRT.CAR,1.00
1473,ELM.APR.API,1.00
1473,ELM.APS.APS,1.00
1473,ELM.RCT.125,1.00
1474,ELM.ILU.PBT,1.00
1475,ELM.APS.APS,1.00
1476,ELM.BRB.BMG,1.00
1490,ELM.APS.APS,1.00
1490,ELM.BRB.BMG,1.00
1490,ELM.CRT.TTC,1.00
1490,HID.CIL.CHP,2.00
1490,ELM.EXT.ETS,8.00
1490,ELM.CHI.CEE,2.00
1490,HID.BMB.DEF,1.00
1490,GAS.OXI.MNG,1.00
1490,ELM.RCT.125,5.00
1490,MAN.ELC.D30,1.00
1490,HID.CIL.CHS,3.00
1490,ELM.RCT.230,2.00
1490,MAN.ELC.D10,2.00
1490,MAN.ELC.D05,1.00
1490,MAN.ELC.P15,2.00
1499,MAN.ELC.D10,2.00
1499,ELM.BRB.BMG,1.00
1499,ELM.RCT.180,1.00
1499,ELM.APS.APS,3.00
1499,MAN.ELC.D20,7.00
1499,MAN.ELC.D15,4.00
1499,ELM.APS.SAP,1.00
1499,ELM.RCT.125,5.00
1499,ELM.RCT.230,2.00
1499,MAN.ELC.P75,2.00
1549,ELM.BRB.BMG,2.00
1686,ELM.APS.TIG,2.00
1686,HID.CIL.CHS,1.00
1686,ELM.RCT.125,5.00
1814,ELM.BRB.CMB,1.00
1860,ELM.RCT.180,1.00
1860,ELM.APR.API,1.00
1860,ELM.RCT.125,3.00
1860,ELM.EXT.ETS,2.00
1860,ELM.RCT.RBL,1.00
1860,ELM.APS.APS,1.00
1860,MAN.ELC.D10,1.00
1860,ELM.APS.TIG,1.00
2215,ARM.MAL.MBA,1.00
2215,ARM.CFE.MEC,2.00
2215,ARM.BAU.BAU,1.00
2215,ARM.CTT.CTF,3.00
2215,ELM.BRB.ANG,1.00
2215,ELM.APR.API,2.00
2215,ARM.CFE.SER,3.00
2215,ELM.EXT.ETS,8.00
2215,ELM.CRT.SEC,3.00
2215,ELM.APS.APS,6.00
2215,ELM.APS.TIG,3.00
2215,ELM.ILU.PBT,1.00
2215,ELM.RCT.180,1.00
2215,ELM.ASD.TTG,2.00
2215,ELM.BRB.PDR,1.00
2215,ELT.ASD.MMG,1.00
2215,ELT.QEL.PIM,2.00
2215,ELM.BRB.BAT,1.00
2215,ELT.APS.APS,2.00
2215,GAS.MAN.OXG,1.00
2215,EPI.SLD.MCS,3.00
2215,ELM.ELC.GUI,1.00
2215,ELT.APS.MIG,1.00
2215,GAS.OXI.MNG,1.00
2215,GAS.MAN.ACT,1.00
2215,ELM.ILU.PRJ,1.00
2215,ELT.CHI.C32,2.00
2215,MAN.CHA.JC3,1.00
2215,MAN.ELC.TRF,3.00
2215,ELM.RCT.125,5.00
2215,MAN.SUP.GMP,6.00
2215,MAN.CNT.PL1,9.00
2215,ELM.RCT.230,4.00
2215,MAN.ELC.P15,2.00
2215,MAN.CNT.PL2,6.00
2215,MAN.ELC.P75,9.00
2215,MAN.CNT.PL4,2.00
2215,MAN.OXI.MOC,1.00
2225,ELM.EXT.ETS,2.00
2225,ELM.RCT.125,1.00
2494,ELM.RCT.125,4.00
2494,ELM.RCT.180,4.00
2494,ELM.APS.TIG,1.00
2494,ELM.RCT.RBL,14.00
2494,ELM.RCT.230,2.00
2538,ELM.APS.APS,1.00
2538,ELM.RCT.180,1.00
2538,ELM.EXT.ETS,11.00
2538,ELM.RCT.125,2.00
2538,ELM.APS.TIG,2.00
2538,ELM.RCT.RBL,3.00
2538,ELM.RCT.230,1.00
2576,ELM.RCT.180,1.00
2576,ELM.APS.TIG,1.00
2576,ELM.EXT.ETS,2.00
2576,ELM.RCT.RBL,1.00
2576,ELM.RCT.125,2.00
2576,MAN.ELC.D05,2.00
2576,MAN.ELC.P15,1.00
2576,MAN.ELC.P75,1.00
2589,ELM.APS.APS,1.00
2589,ELM.RCT.125,1.00
2649,ELM.RCT.125,4.00
2714,ELM.ASD.TTG,1.00
2714,ARM.CFE.INS,2.00
2714,ELM.RCT.125,2.00
2714,ELM.APS.TIG,1.00
2714,ELM.BRB.BAT,1.00
2724,ELM.RCT.125,1.00
2724,ELM.EXT.ETS,1.00
2724,ELM.RCT.180,1.00
2724,ELM.RCT.RBL,1.00
2728,ELM.RCT.125,6.00
2728,ELM.RCT.180,2.00
2728,ELM.APS.APS,1.00
2728,ELM.RCT.RBL,1.00
2730,MAN.ELC.D15,1.00
2730,ELM.RCT.125,1.00
2730,ELM.APR.API,1.00
2730,ELM.BRB.BMG,2.00
2730,ELM.APS.APS,1.00
2730,ELT.CHI.C32,1.00
2730,ELM.RCT.230,1.00
2730,ELM.RCT.180,1.00
2730,HID.MTB.MVT,1.00
2730,ELM.RCT.RBL,1.00
2730,MAN.ELC.D10,1.00
2756,ELM.APS.APS,7.00
2756,ELT.APS.ARC,4.00
2757,ELT.APS.MIG,1.00
2757,ARM.CTT.CTF,1.00
2757,ARM.CTT.CTA,1.00
2800,ELM.APS.APS,1.00
2800,ELM.RCT.115,1.00
2800,ELM.RCT.125,2.00
2819,ELM.APS.APS,1.00
2819,ELM.RCT.RBL,1.00
2819,ELM.RCT.125,3.00
2819,ELM.RCT.230,1.00
2836,ELT.APS.ARC,1.00
2837,ELT.APS.ARC,2.00
2837,ELM.APS.TIG,1.00
2837,ELT.APS.MIG,2.00
2837,ELT.EXT.E32,4.00
2841,ELM.APS.APS,1.00
2846,ELM.APS.APS,1.00
2846,ELM.RCT.125,2.00
2846,ELM.RCT.180,1.00
2848,ELM.APS.TIG,1.00
2853,PNE.ELC.GUI,1.00
2854,ELM.RCT.180,1.00
2854,ELM.APS.APS,1.00
2854,ELM.CHI.CEE,3.00
2854,ELM.EXT.ETS,10.00
2854,ELT.EXT.E16,2.00
2854,ELM.RCT.230,2.00
2854,ELM.RCT.125,4.00
2854,GAS.OXI.MNG,3.00
2854,MAN.ELC.D10,2.00
2854,MAN.ELC.P15,2.00
2854,ELT.APS.APS,1.00
2854,MAN.ELC.P75,2.00
2854,MAN.ELC.D30,2.00
2854,ELT.CHI.C32,2.00
2854,MAN.ELC.TRF,1.00
2854,ELT.CHI.C63,2.00
2854,MAN.ELC.D05,4.00
2888,ELM.APS.APS,1.00
2889,ELM.RCT.125,2.00
2893,ELM.APS.APS,1.00
2901,ELM.APS.APS,3.00
2901,ELM.RCT.180,3.00
2901,ELM.BRB.BMG,2.00
2901,ELT.APS.APS,2.00
2901,ELM.RCT.125,9.00
2901,ELT.APS.MIG,2.00
2901,ELM.RCT.RBL,4.00
2901,ELM.RCT.230,4.00
2902,ELM.APS.APS,1.00
2902,ELM.RCT.125,1.00
2902,ELM.RCT.230,1.00
2910,ELM.APS.TIG,1.00
2914,ELM.APS.TIG,1.00
2914,ARM.CFE.SER,1.00
2914,ELM.RCT.RBL,1.00
2914,ELM.RCT.125,2.00
2923,ELM.RCT.125,2.00
2923,ELM.RCT.180,1.00
2923,ELM.APS.TIG,1.00
2923,ELM.RCT.RBL,1.00
2923,ELM.EXT.ETS,2.00
2924,ELM.RCT.230,1.00
2924,ELM.EXT.ETS,2.00
2924,ELM.RCT.125,1.00
2924,MAN.ELC.P15,2.00
2924,MAN.ELC.D05,2.00
2924,MAN.ELC.D10,1.00
2927,ELM.APS.APS,1.00
2927,ELT.APS.MIG,1.00
2927,ELM.BRB.BMG,1.00
2927,ELM.RCT.180,2.00
2927,ELM.EIA.EAR,1.00
2927,ELT.CHI.C32,1.00
2927,ELM.CHI.CEE,1.00
2927,HID.CIL.CHS,2.00
2927,ELM.EXT.ETS,3.00
2927,HID.BMB.SIM,2.00
2927,ELM.RCT.RBL,1.00
2927,MAN.ELC.D10,3.00
2927,ELM.RCT.125,3.00
2927,ELT.CHI.C16,1.00
2927,ELM.RCT.230,1.00
2927,ELT.EXT.E16,4.00
2927,MAN.ELC.P75,2.00
2928,ELM.EXT.ETS,4.00
2928,ELM.RCT.RBL,1.00
2928,ELM.APS.APS,2.00
2928,ELT.APS.APS,1.00
2928,ELM.RCT.125,5.00
2928,ELM.RCT.180,3.00
2928,MAN.ELC.P15,2.00
2928,ELT.APS.MIG,1.00
2928,MAN.ELC.P75,3.00
