ToolingCode,SubfamilyID
CON.FRC.WDL,1424
ELM.APR.API,940
MAN.ELC.D10,948
MAN.CNT.PL2,811
MAN.MLH.7/8,999
ELM.APR.API,940
EPI.SLD.MCS,756
MAN.CHA.FTM,1220
MAN.CNT.PL2,811
EPI.LUV.PEL,805
ELM.RCT.230,866
CON.LIM.PLP,1294
MAN.CNT.PL1,809
MAN.CHA.JTH,1649
ELM.RCT.125,863
ELT.QEL.PIM,808
GAS.MAN.ACT,515
EPI.ANQ.CVA,626
ELM.ASD.MMG,1022
CON.RCT.DL1,730
EPI.AUD.TMP,905
EPI.ANQ.CVA,626
SEG.CAI.ETT,1045
MAN.CHA.LUN,738
MAN.ELC.GRV,698
MAN.CNT.PL1,809
EPI.RSP.MFP,761
ELM.EXT.ETS,660
MAN.CHA.FTM,1220
EPI.LUV.ARC,530
MAN.EMM.PQI,1283
GAS.MAN.ACT,515
EPI.ANQ.CVA,626
MAN.EMM.CPC,607
CON.MIG.GFI,1324
CON.ASD.MAP,1766
ELM.BRB.FER,669
CON.LIX.FLI,1263
ELM.APS.APS,527
EPI.RSP.FG3,1088
ELM.APS.TIG,904
HID.BMB.SIM,876
PNE.MNG.ARC,531
ELM.ILU.PBT,801
ARM.CFE.MEC,759
CON.SLD.VDP,922
ELM.RCT.RBL,843
ELM.ILU.PBT,801
EPI.LUV.PEL,805
MAN.ELC.P15,943
ELM.EXT.ETS,660
CON.RCT.DS1,1227
MAN.CHA.JC4,709
ARM.BAU.BAU,1005
CON.QMC.CRT,1339
MAN.CHA.DN1,1099
ELM.APR.API,940
HID.CIL.CHS,591
CON.LIX.LMR,1306
MAN.CHP.BOC,548
MAN.CHP.LUN,739
ELM.APS.TIG,904
ELM.BRB.FER,669
EPI.GLB.BTN,556
CON.MDG.GRF,1279
EPI.SLD.AVT,535
EPI.VIS.PRT,834
ELT.ASD.ALA,964
EPI.RSP.MDC,1217
MAN.MLH.1/2,1002
MAN.OXI.MOC,774
EPI.SLD.CSL,617
EPI.VIS.VSR,927
ELM.APR.API,940
ELM.RCT.125,863
EPI.ANQ.CVA,626
CON.SLD.VDT,923
GAS.MAN.MAR,748
MAN.CHA.JC4,709
ELT.APS.TIG,904
MAN.CHA.JC2,707
GAS.MAN.MAR,748
MAN.CHA.FTM,1220
MAN.ELC.AFN,1319
CON.RCT.DS1,1227
ELM.ILU.PBT,801
MAN.CHA.ESC,1288
MAN.CHA.BLR,1253
ELT.EXT.ETS,660
ARM.CTT.CTF,621
ARM.MAL.MBA,995
ELM.BRB.BAT,538
EPI.RSP.MFP,761
MAN.CNT.PL3,812
SEG.PSO.C1S,1278
ELM.RCT.125,863
MAN.EAC.ESC,649
CON.ASD.MAP,1766
MAT.ACE.IMT,1485
MAN.OXI.MOC,774
MAN.CNT.PL2,811
MAN.ELC.P75,946
MAN.APS.AAS,1574
EPI.SLD.CSL,617
MAN.TRA.PPL,826
ELM.APR.API,940
CON.MDG.GRF,1279
ARM.CFE.SER,875
ELT.ASD.ALA,964
CON.TIG.ACE,1346
MAN.ELC.P75,946
MAN.CIP.JI3,1017
CON.FIT.FIO,1403
ELM.RCT.230,866
ELM.EXT.ETS,660
MAN.CIP.JI3,1017
CON.SLD.VDT,923
EPI.AUD.TMP,905
ARM.CTT.CTF,621
SEG.CAI.ETT,1045
CON.LIM.TRP,1219
MAN.CHA.JSM,721
MAN.CIP.JI3,1017
EPI.VIS.PRT,834
ELM.APR.API,940
ELM.APS.APS,527
SEG.PSO.C1S,1278
ELM.RCT.125,863
EPI.VIS.EST,655
CON.ASD.EPP,1595
ELM.PLS.TPL,1191
ARM.CFE.SER,875
PNE.MNG.ARC,531
PNE.CRT.SSB,884
EPI.RSP.MMM,767
MAN.CNT.PL1,809
ARM.CTT.CTF,621
MAN.CIP.IL2,733
MAN.CNT.PL1,809
ELM.APR.API,940
CON.QMC.CRT,1339
EPI.GLB.FGN,1291
CON.SLD.VRI,926
ELM.RCT.125,863
EPI.ANQ.CVA,626
MAN.CHA.AGL,516
ELM.APS.TIG,904
EPI.GLB.BTN,556
ARM.MAL.MBA,995
CON.QMC.DBL,1342
MAN.ELC.P15,943
MAN.ELC.D20,950
ARM.CFE.MEC,759
CON.LIM.SAC,1241
ELM.BRB.CMB,599
GAS.MAN.DEB,632
ELM.CHI.CEE,956
ELT.APS.ARC,529
MAN.EMM.ALI,970
MAN.APS.AAS,1574
EPI.GLB.CAP,570
EPI.GLB.FRQ,679
ELM.RCT.230,866
EPI.RSP.MDC,1217
MAN.CHA.FPR,1302
MAN.CHA.JC3,708
MAN.ELC.P75,946
PNE.MNG.ARC,531
ARM.CTT.CTF,621
MAN.APS.AAS,1574
CON.SLD.AC2,1120
ELM.ILU.PBT,801
MAN.ELC.P15,943
ELM.APS.TIG,904
ELT.MOM.SRF,1046
CON.MIG.GFI,1324
EPI.GLB.CAP,570
ELM.RCT.125,863
ELT.ASD.MMG,1022
CON.RCT.DS1,1227
HID.CIL.CHP,589
MAN.CIP.JI2,1016
MAN.CHA.JC3,708
MAN.CIP.JI3,1017
ARM.BAU.BAU,1005
MAN.RMT.SRH,1007
ARM.MAL.MBA,995
MAN.CNT.PL3,812
EPI.ANQ.RTR,869
ELM.RCT.230,866
MAN.ELC.D05,947
ELM.RCT.125,863
EPI.GLB.COL,1077
ELM.APS.ARC,529
CON.CBT.TLD,1300
ELM.RCT.230,866
CON.CZL.ESC,1301
EPI.LUV.PEL,805
MAN.CHA.AJ2,1093
EPI.LUV.PEL,805
EPI.LUV.PEL,805
HID.CIL.CHS,591
MAN.CNT.PL2,811
ARM.CTT.CTA,618
MAN.SUP.GMP,693
ARM.CFE.MEC,759
ELM.APR.API,940
CON.RCT.DS3,1277
ARM.MAL.MBA,995
CON.MIG.GFI,1324
CON.FIT.PLT,822
ELT.APS.MIG,762
EPI.LUV.PEL,805
HID.CIL.FUR,689
EPI.LUV.PEL,805
MAN.CIP.CI1,625
ELM.RCT.180,864
MAN.CIP.IL2,733
CON.SLD.VRC,925
MAN.EAC.AND,1195
MAN.CHA.JTH,1649
MAN.RES.BAL,537
MAN.CHA.FTM,1220
MAN.CNT.PL3,812
ELM.APR.API,940
CON.FIT.PLT,822
ELM.BRB.BMG,545
MAN.MNL.001,1309
ELM.BRB.BAT,538
CON.MIG.BTM,1225
HID.ACM.MNG,3200
ELT.QEL.PIM,808
MAN.ELC.P75,946
ELM.CHI.CEE,956
ELM.ELC.GUI,699
MAN.SUP.PPT,828
ARM.BAU.BAU,1005
ARM.CFE.SER,875
EPI.GLB.CAP,570
MAN.CHA.MRT,779
MAN.CHA.JC3,708
EPI.RSP.FG3,1088
EPI.VIS.PRT,834
ELM.APS.APS,527
CON.MIG.GFI,1324
EPI.ANQ.CHV,592
EPI.GLB.CAP,570
MAN.APS.AAS,1574
MAN.CHA.NFL,1272
ARM.BAU.BAU,1005
ELM.EXT.ETS,660
MAN.CAD.MET,760
ELT.APS.MIG,762
ELM.BRB.ANG,937
ELM.APS.TIG,904
ELM.RCT.RBL,843
EPI.RSP.FG2,1086
ELM.APS.TIG,904
EPI.VIS.EST,655
ARM.CFE.MEC,759
ELM.ABR.TRX,973
EPI.RSP.FG3,1088
ELM.EXT.ETS,660
CON.FIT.PLT,822
MAN.CIP.JI2,1016
CON.RCT.DS3,1277
ELM.EXT.CEE,584
EPI.RSP.MDC,1217
EPI.SLD.MCS,756
MAN.ELC.D20,950
MAN.CHA.ESC,1288
EPI.VIS.PRT,834
ELT.EXT.E16,656
ELM.PLS.TPL,1191
CON.MIG.DIF,1323
ELT.ASD.MMG,1022
MAN.ELC.P75,946
CON.PLS.ACP,1334
CON.SLD.AC2,1120
ELM.RCT.180,864
ELM.APR.API,940
MAN.CHA.RPP,1185
ARM.KIT.ACS,1796
MAN.ELC.D15,949
CON.QMC.LMP,1359
MAN.CHA.FTM,1220
ELM.ACM.BAT,1182
CON.SLD.AC2,1120
CON.FRC.WDL,1424
MAN.ELC.MNR,772
MAN.APS.AAS,1574
MAN.CHA.FTM,1220
ELM.APS.TIG,904
EPI.ARN.ARN,533
MAN.CHA.JC3,708
MAN.ELC.P15,943
MAN.CHA.ALF,1247
EPI.ARN.ARN,533
ELM.ILU.PRJ,830
CON.SLD.IX3,1126
CON.MIG.DIF,1323
CON.SLD.VDT,923
ELT.EXT.E32,657
ELM.RCT.230,866
ELM.BRB.BMG,545
ELM.APR.API,940
ARM.MAL.MBA,995
EPI.RSP.MFP,761
MAN.CNT.PL2,811
MAN.ELC.D10,948
CON.RCT.DS1,1227
ELM.EXT.ETS,660
ELM.ASD.TTG,968
MAN.CHA.MRM,777
EPI.VIS.PRT,834
CON.LIX.ESF,1376
MAN.RES.TAB,901
MAN.MNL.012,1311
ELM.BRB.BAT,538
EPI.GLB.FT3,1090
ELM.ASD.TTG,968
EPI.GLB.FT3,1090
ELM.ASD.TTG,968
ELT.ASD.JIB,1117
ELT.MAP.MAQ,746
MAN.CIP.CI2,623
EPI.GLB.CAP,570
ARM.CFE.ELE,646
ELM.ASD.MMG,1022
ELM.BRB.PDR,804
CON.SLD.AC3,1379
MAN.RES.BAL,537
ELM.APS.TIG,904
EPI.ARN.ARN,533
EPI.AUD.TMP,905
MAN.ELC.AMN,1320
EPI.ANQ.CVA,626
ELM.LIM.ASP,1059
ELT.CHI.C32,958
MAN.ELC.D20,950
MAN.EMM.APF,525
MAN.CIP.IL2,733
MAN.ELC.GRC,694
ELM.RCT.125,863
MAN.EMM.H2S,1553
MAN.EMM.APF,525
EPI.VIS.PRT,834
CON.ABR.JMM,1421
CON.QMC.DEC,1361
CON.PIN.TPI,1250
CON.LIM.LPE,1350
ELM.APR.APR,526
ELM.BRB.BMG,545
EPI.VIS.PRT,834
MAN.CHA.CPN,608
ELM.ILU.PRJ,830
CON.TIG.ACE,1346
CON.FIT.PPL,825
ELM.ACM.BAT,1182
MAN.CHA.ESC,1288
EPI.LUV.LET,1128
ELT.EXT.E32,657
ELM.RCT.230,866
ELT.CHI.ESP,961
CON.MIG.BTM,1225
MAN.ELC.D15,949
CON.LIM.ESP,653
ELM.RCT.180,864
MAN.CHA.CHF,586
MAN.OXI.MOC,774
ELM.EXT.ETS,660
HID.BMB.SIM,876
EPI.LUV.PEL,805
MAN.CHA.BOC,547
CON.LIM.ESC,650
EPI.LUV.PEL,805
MAN.CHA.MLH,765
ELM.CHI.CEE,956
MAN.ELC.P15,943
MAN.CHA.CHF,586
MAN.CHP.LUN,739
ELT.ASD.ALA,964
ELM.ILU.PBT,801
ELM.RCT.180,864
SEG.PSO.C1S,1278
SEG.CAI.ETT,1045
ELM.EXT.ETS,660
EPI.SLD.MCS,756
MAN.CHA.JSM,721
EPI.RSP.MFP,761
ELM.ASD.MMG,1022
CON.LIX.CRT,1364
ELM.APR.API,940
ELM.RCT.125,863
MAN.CNT.PL2,811
ELM.EXT.CEE,584
MAN.CHA.ALF,1247
ELM.EXT.ETS,660
MAN.ELC.D30,951
ELM.CRT.SSB,884
EPI.AUD.TMP,905
ELM.APR.API,940
ARM.CFE.TUB,987
ELM.EIA.EAR,641
MAN.CHP.BOC,548
MAN.CHA.FTM,1220
ELM.EXT.ETS,660
MAN.CNT.PL2,811
HID.BMB.SIM,876
MAN.CHA.REI,1244
MAN.ELC.AFN,1319
MAN.EMM.APF,525
MAN.CAD.MET,760
EPI.RSP.FG3,1088
EPI.RSP.MFP,761
ELM.EXT.ETS,660
MAN.ELC.P30,944
EPI.AUD.TMP,905
CON.PIN.TPI,1250
MAN.ELC.D05,947
CON.LIX.ESF,1376
ARM.CFE.MEC,759
MAN.CIP.JI3,1017
ELM.CRT.SSB,884
HID.CIL.CHS,591
MAN.CHA.JSM,721
ELM.RCT.RBL,843
ELM.EXT.ETS,660
CON.LIX.LMR,1306
ELM.RCT.RBL,843
MAN.CHA.LUN,738
CON.LIM.PLP,1294
ELM.ELC.GUI,699
MAN.CNT.PL2,811
MAN.CHA.BOC,547
ELM.ILU.PBT,801
ELM.RCT.125,863
CON.SLD.IX3,1126
ARM.CFE.MEC,759
GAS.MAN.MAR,748
ELM.APR.API,940
ELM.APR.API,940
MAN.RES.TAB,901
ELM.BRB.PDR,804
EPI.LUV.PEL,805
ELM.RCT.125,863
ELM.RCT.125,863
EPI.LUV.ARC,530
ELM.EXT.ETS,660
ARM.MAL.MBA,995
MAN.RES.BAL,537
EPI.GLB.CAP,570
ELM.APS.APS,527
MAN.ELC.P75,946
MAN.CHA.LUN,738
ARM.BAU.BAU,1005
MAN.CNT.PL2,811
EPI.RSP.MFP,761
GAS.MAN.OXG,794
MAN.CHA.MLH,765
ELT.APS.APS,527
HID.CIL.FUR,689
ELM.APR.API,940
MAN.CNT.PL1,809
CON.BRC.CBH,581
ARM.BAU.BAU,1005
EPI.LUV.SOL,877
MAN.EMM.NIV,1275
ELM.RCT.125,863
EPI.RSP.MDC,1217
PNE.MAG.MAG,1114
EPI.RSP.FG2,1086
ELM.EXT.ETS,660
ELM.ABR.TRX,973
ELM.ASD.TTG,968
ELM.ABR.TRX,973
MAN.CNT.PL1,809
MAN.CNT.PL1,809
MAN.CNT.PL2,811
CON.SLD.TGS,1303
CON.LIM.PIA,806
ELM.BRB.CMB,599
MAN.CHP.BOC,548
MAN.CNT.RD8,853
EPI.RSP.FG2,1086
ELM.CHI.CEE,956
MAN.CNT.PL1,809
EPI.LUV.PEL,805
CON.SLD.AC2,1120
ELM.ASD.MMG,1022
MAN.CIP.CI2,623
EPI.VIS.PRT,834
MAN.CHA.MRT,779
ELM.APS.TIG,904
MAN.ELC.P15,943
ELM.EXT.ETS,660
MAN.CHA.MRM,777
MAN.CHP.JCP,1511
MAN.RES.BAL,537
EPI.VIS.PRT,834
CON.QMC.DEC,1361
MAN.ELC.D10,948
CON.RCT.DL1,730
EPI.VIS.PRT,834
HID.CIL.CHS,591
CON.LIM.PLP,1294
MAN.CHA.FTM,1220
ARM.CTT.CTF,621
EPI.VIS.PRT,834
EPI.GLB.FRQ,679
ELM.ASD.TTG,968
ELM.RCT.125,863
MAN.CIP.CI2,623
MAN.CHA.CHF,586
PNE.APR.API,940
EPI.VIS.VSR,927
MAN.ELC.P60,945
MAN.CNT.PL1,809
ELM.RCT.125,863
ELM.RCT.125,863
ARM.CTT.CTF,621
ELM.APR.API,940
MAN.MNL.078,1317
MAN.CNT.PL3,812
CON.MIG.BCM,1228
ELT.ASD.ALA,964
ELM.RCT.RBL,843
MAN.CNT.PL2,811
MAN.CHA.ALV,524
PNE.MNG.ARC,531
MAN.CHP.BOC,548
CON.BRC.CBH,581
EPI.SLD.MCS,756
ELM.MAP.MAF,742
ARM.CFE.INS,702
ELM.BRB.FER,669
MAN.CHA.JC3,708
ELM.RCT.180,864
MAN.CHA.FTM,1220
EPI.LUV.PEL,805
ELM.BRB.BMG,545
EPI.GLB.FGN,1291
ELM.CHI.CEE,956
MAN.CHP.BOC,548
CON.SLD.VRC,925
MAN.CNT.PL2,811
MAN.ELC.TUB,1023
ELM.RCT.125,863
ELM.BRB.BAT,538
ELM.CRT.TTC,915
ARM.BAU.BAU,1005
EPI.LUV.SOL,877
MAN.ELC.AMN,1320
MAN.APS.AAS,1574
HID.CIL.CHS,591
ELM.BRB.CMB,599
GAS.MAN.DEB,632
MAN.CHA.MRM,777
CON.PIN.TPI,1250
CON.MIG.BCM,1228
ELM.BRB.FER,669
MAN.ELC.D30,951
ELT.CHI.C63,959
ARM.CTT.CTF,621
CON.LIM.PLP,1294
EPI.ANQ.RTR,869
MAN.ELC.P60,945
EPI.LUV.ARC,530
CON.PLS.ACP,1334
EPI.LUV.LET,1128
MAN.APS.AAS,1574
ELM.RCT.125,863
SEG.CAI.ETT,1045
MAN.CNT.PL4,813
MAN.CNT.PL3,812
MAN.RMT.SRH,1007
CON.QMC.SCT,1426
MAN.ELC.D20,950
EPI.GLB.CAP,570
EPI.AUD.TMP,905
CON.BRC.SDP,1504
ELM.ELC.GUI,699
CON.PIN.TPI,1250
HID.CIL.FUR,689
CON.FIT.PLT,822
EPI.ANQ.CVA,626
MAN.CAD.MET,760
MAN.SUP.GMP,693
EPI.GLB.FRQ,679
ELM.BRB.PDR,804
ELM.PLS.TPL,1191
EPI.LUV.SOL,877
MAN.CNT.PL2,811
HID.CIL.CHS,591
GAS.OXI.MNG,770
MAN.APS.AAS,1574
ELM.BRB.CMB,599
MAN.CIP.JI3,1017
EPI.SLD.MCS,756
MAN.CHA.BU1,1400
EPI.GLB.FCH,665
ELM.APS.APS,527
EPI.SLD.MCS,756
MAN.CHA.JC3,708
ELM.RCT.230,866
MAN.PRO.PRO,1116
HID.BMB.SIM,876
ELM.EXT.ETS,660
ELT.ASD.ALA,964
EPI.SLD.MCS,756
MAN.CHA.BOC,547
CON.SLD.VDP,922
CON.RCT.DS1,1227
MAN.CHA.AJ1,1092
SEG.CAI.ETT,1045
MAN.TRA.GRD,695
GAS.OXI.MNG,770
ELM.RCT.RBL,843
CON.LIX.ESF,1376
MAN.OXI.MOC,774
MAN.APS.AAS,1574
SEG.CSG.CDC,1167
MAN.CAD.MET,760
EPI.RSP.MDC,1217
ELM.RCT.125,863
EPI.LUV.TIG,1091
EPI.VIS.VSR,927
MAN.CHA.CHF,586
MAN.APS.AAS,1574
MAN.MLH.001,998
MAN.CNT.RD8,853
CON.LIM.ESP,653
CON.FIT.PLT,822
ELM.APR.APR,526
MAN.CHA.RTC,865
CON.QMC.PIN,1345
ELM.EXT.ETS,660
PNE.CRT.SSB,884
ELM.RCT.RBL,843
EPI.LUV.PEL,805
MAN.ELC.D15,949
ELM.APS.APS,527
MAN.CHA.PNC,823
MAN.ELC.P75,946
ELM.ILU.P24,974
ELT.ASD.MMG,1022
ARM.MAL.MBA,995
CON.SLD.CAR,1135
ARM.BAU.BAU,1005
MAN.CHP.JCP,1511
MAN.APS.AAS,1574
EPI.RSP.MFP,761
MAN.RES.BAL,537
ELM.RCT.180,864
MAN.RMT.SRB,881
ARM.BAU.BAU,1005
EPI.VIS.EST,655
CON.ASD.MAP,1766
MAN.ELC.D10,948
MAN.TRA.GRS,697
MAN.CHA.ALV,524
EPI.LUV.PEL,805
EPI.LUV.PEL,805
ELM.BRB.BAT,538
MAN.CIP.JI3,1017
HID.CIL.FUR,689
ARM.CTT.CTA,618
ELM.RCT.125,863
ELM.FXC.MRB,1111
EPI.RSP.MFP,761
MAN.CHA.ALV,524
ELM.EXT.ETS,660
CON.FRC.WDL,1424
ELT.EXT.E32,657
MAN.TRA.PPL,826
CON.SLD.IX2,1125
CON.TIG.ACE,1346
MAN.CNT.PL4,813
MAN.RES.TAB,901
ELM.EXT.ETS,660
ARM.MAL.MBA,995
ELT.QEL.PIM,808
MAN.CIP.CI1,625
EPI.ARN.ARN,533
HID.BMB.SIM,876
HID.CIL.FUR,689
GAS.MAN.ACT,515
EPI.LUV.TIG,1091
EPI.ANQ.CVA,626
ELM.ASD.TTG,968
MAN.CNT.PL1,809
MAN.CHA.GRI,696
ELM.ILU.PBT,801
MAN.ELC.D20,950
MAN.CIP.CI2,623
ELT.APS.TIG,904
ELM.APS.TIG,904
CON.QMC.RFI,1534
ELM.RCT.180,864
ARM.BAU.BAU,1005
ELM.ACM.BAT,1182
ELM.EXT.ETS,660
EPI.VIS.PRT,834
ELM.RCT.125,863
ELM.RCT.125,863
EPI.VIS.VSR,927
CON.QMC.DBL,1342
ELM.EIA.EAR,641
MAN.ELC.D10,948
EPI.LUV.LET,1128
CON.LIM.ESC,650
MAN.CHP.JCP,1511
CON.MDG.GRF,1279
CON.MDG.COP,1280
EPI.RSP.AK1,1083
ELM.RCT.125,863
MAT.BRB.ABB,1408
EPI.SLD.CSL,617
MAN.TRA.GRD,695
MAT.CAN.304,1686
ELM.ASD.MMG,1022
MAN.EMM.NIV,1275
MAN.THI.MTH,782
ELM.RCT.230,866
ARM.BAU.BAU,1005
ELM.CRT.TTC,915
ARM.CFE.SER,875
MAN.APS.AAS,1574
CON.ABR.MCM,1420
GAS.MAN.DEB,632
ELT.CHI.C63,959
ELT.ASD.EXA,965
MAN.CAD.MET,760
MAN.APS.AAS,1574
MAN.CHA.JC3,708
PNE.APR.API,940
ELM.RCT.RBL,843
ELM.APR.API,940
ARM.CTT.CTA,618
ELM.RCT.RBL,843
GAS.MAN.ACT,515
ELM.RCT.230,866
MAN.ELC.D10,948
ARM.BAU.BAU,1005
SEG.ARN.ARN,533
EPI.LUV.LET,1128
ELM.APR.API,940
MAN.CHA.JC3,708
EPI.ARN.ARN,533
MAN.MNL.001,1309
ELM.BRB.BMG,545
HID.BMB.SIM,876
ELM.ASD.TTG,968
MAN.CAD.MET,760
ELM.BRB.BAT,538
MAN.CHA.MRT,779
CON.MDG.GRF,1279
CON.SLD.VDT,923
MAN.CNT.PL3,812
SEG.CSG.CDC,1167
CON.FIT.PPL,825
MAN.CHA.SRT,883
MAN.CNT.PL2,811
MAN.CHA.LUN,738
ELM.RCT.230,866
EPI.ANQ.CVA,626
MAN.CHA.RDF,851
MAN.CIP.JI2,1016
CON.BRC.CBH,581
GAS.MAN.OXG,794
CON.LIM.PLP,1294
MAN.ELC.D10,948
ELM.EXT.ETS,660
ARM.BAU.BAU,1005
ARM.BAU.BAU,1005
MAN.CHP.LUN,739
MAN.CHA.RTC,865
MAN.ELC.TUG,1761
ELM.BRB.BAT,538
ELM.CHI.CEE,956
MAT.ARM.SUC,2047
EPI.LUV.LTX,737
ARM.MAL.MBA,995
ELT.ASD.EXA,965
CON.MDG.GRF,1279
MAN.MNL.034,1315
ELM.APR.API,940
MAN.ELC.D15,949
MAN.EAC.EPL,1154
HID.CIL.CHS,591
ELM.EXT.ETS,660
EPI.GLB.CAP,570
ELM.APR.API,940
ARM.BAU.BAU,1005
ELM.EXT.ETS,660
EPI.RSP.MFP,761
ELM.EXT.ETS,660
MAN.CHP.LUN,739
EPI.LUV.PEL,805
EPI.LUV.LET,1128
MAN.CNT.PL2,811
ELM.CHI.CEE,956
ELM.APS.APS,527
ELM.APS.TIG,904
ELM.BRB.CMB,599
ARM.CFE.SER,875
ELM.APR.APR,526
EPI.GLB.FRQ,679
CON.RCT.DS3,1277
ELM.APS.APS,527
HID.CIL.FUR,689
MAN.CHA.ALV,524
MAN.TRA.PPL,826
EPI.RSP.MFP,761
EPI.LUV.PEL,805
ARM.BAU.BAU,1005
ELM.RCT.125,863
MAN.ELC.P75,946
ELT.APS.TIG,904
MAN.CHP.LUN,739
MAN.CTB.CTU,1422
ARM.BAU.BAU,1005
CON.SLD.VDP,922
ELM.EXT.ETS,660
GAS.MAN.DEB,632
MAN.ELC.D10,948
EPI.RSP.MDC,1217
GAS.MAN.ACT,515
CON.SLD.VDT,923
MAN.CHA.CHF,586
MAN.LIM.BOR,1021
EPI.LUV.PEL,805
ARM.MAL.MBA,995
ELM.RCT.RBL,843
MAN.RES.BAL,537
EPI.LUV.SOL,877
ELM.RCT.RBL,843
ELM.PLS.TPL,1191
SEG.CSG.CDC,1167
ELM.ILU.PBT,801
EPI.AUD.TMP,905
CON.BRC.CBH,581
EPI.RSP.MMM,767
MAN.CHA.BOC,547
MAN.APS.AAS,1574
MAN.RES.BAL,537
EPI.RSP.MDC,1217
MAN.CAD.MET,760
MAN.APS.AAS,1574
ELT.ASD.MMG,1022
ELM.APR.API,940
ELM.BRB.BAT,538
EPI.LUV.PEL,805
EPI.GLB.JLH,710
CON.FIT.PLT,822
MAN.ELC.D10,948
ELM.RCT.125,863
ELM.ACM.BAT,1182
ARM.BAU.BAU,1005
ARM.BAU.BAU,1005
MAN.RES.TAB,901
CON.RCT.DS1,1227
MAN.RMT.SRH,1007
MAN.CHA.DEF,634
MAN.MNL.034,1315
ELM.EXT.ETS,660
MAN.CNT.PL2,811
MAN.CHA.JSP,722
MAN.RES.BAL,537
ELM.CHI.CEE,956
EPI.ANQ.CVA,626
CON.FRC.WDL,1424
EPI.GLB.FT3,1090
EPI.ARN.ARN,533
ELM.APS.APS,527
MAN.ELC.P30,944
MAN.ELC.ALM,521
EPI.VIS.OXI,796
EPI.VIS.VSR,927
ELM.RCT.230,866
ELM.BRB.BAT,538
EPI.AUD.TMP,905
ELM.APS.APS,527
EPI.ANQ.CVA,626
ELM.EXT.ETS,660
GAS.OXI.MNG,770
EPI.VIS.VSR,927
EPI.GLB.CAP,570
SEG.ALT.SAR,1605
CON.RCT.DL1,730
EPI.LUV.PEL,805
ARM.CFE.MEC,759
ARM.MAL.MBA,995
CON.FIT.PLT,822
MAN.CHA.CHL,588
ELT.APS.TIG,904
ELM.EXT.ETS,660
ELT.ASD.EXA,965
MAN.ELC.D10,948
MAN.SUP.PPT,828
CON.MIG.BCM,1228
ARM.BAU.BAU,1005
MAN.CNT.PL2,811
MAN.CHA.NFL,1272
ELM.RCT.230,866
MAN.CNT.PL1,809
EPI.LUV.ARC,530
MAN.CHA.MLH,765
MAN.EMM.REG,1274
MAN.CHA.JC3,708
SEG.PSO.C1S,1278
MAN.RES.TAB,901
GAS.MAN.MAR,748
ELM.APS.APS,527
MAN.ELC.D10,948
CON.LIM.SAC,1241
MAN.CHA.LIM,728
EPI.ANQ.RTR,869
EPI.RSP.MDC,1217
ELM.RCT.125,863
HID.CIL.CHS,591
MAN.CHA.RDF,851
MAN.CIP.JI3,1017
